mx|1999|William Cohen and Wei Fan|Learning Page-Independent Heuristics for Extracting Data from Web Pages|WWW-99|http://www8.org/w8-papers/5a-search-query/learning/index.html|html
xm|1999|William Cohen|Reasoning about Textual Similarity in a Web-Based Information Access|Autonomous Agents and Multi-Agent Systems, v2, pages 65-86|postscript/jnl-agents.ps.gz|ps.gz
st|1999|William Cohen, Rob Schapire, Yoram Singer|Learning to Order Things|Journal of  Artificial Intelligence Research, v10, pages 243-270|http://www.jair.org/abstracts/cohen99a.html|html
rt|1999|William Cohen & Yoram Singer|Context-sensitive learning methods for text categorization|ACM Transactions on Information Systems}, v17, pp 171-173|postscript/tois-sigir.pdf|pdf|
mg|1998|William Cohen|The WHIRL Approach to Information Integration|IEEE Intelligent Systems, pp 20-23|http://www.computer.org/intelligent/ex1998/pdf/x5012.pdf|pdf
mt|1998|William Cohen & Haym Hirsh|Joins that Generalize: Text Classification Using WHIRL|KDD-98|postscript/kdd-98.ps|ps
cr|1998|Chumki Basu, Haym Hirsh, William Cohen|Using Social and Content-Based Information in Recommendation|AAAI-98|postscript/aaai-98-collab.ps|ps
m|1998|William Cohen|Integration of Heterogeneous Databases Without Common Domains Using Queries Based on Textual Similarity|SIGMOD-98|postscript/sigmod-98.ps|ps
m|1998|William Cohen|A Web-based Information System that Reasons with Structured Collections of Text|Autonomous Agents '98|postscript/agents-98.ps|ps
m|1998|William Cohen|The WHIRL Approach to Integration: An Overview|The AAAI-98 Workshop on AI and Information Integration|postscript/aaai-98-ws.ps|ps
fi|1998|William Cohen|Hardness Results for Learning First-Order Representations and Programming by Demonstration|Machine Learning, v30,pp 57-88||
m|1997|William Cohen|Knowledge Integration for Structured Information Sources Containing Text (Extended Abstract)|The SIGIR-97 Workshop on Networked Information Retrieval|postscript/sigir-ws-97.ps|ps
ia|1997|William Cohen and Prem Devanbu|A Comparative Study of Inductive Logic Programming Methods for Software Fault Prediction|ICML-97|postscript/ml-97-faults.ps|ps
rta|1997|William Cohen and Daniel Kudenko|Transferring and Retraining Learned Information Filters|AAAI-97|postscript/aaai-97-transfer.ps|ps
srt|1996|William Cohen|Learning Trees and Rules with Set-valued Features|AAAI-96|postscript/aaai-96.ps|ps
sf|1996|William Cohen|The Dual DFA Learning Problem: Hardness Results for Programming by Demonstration and Learning First-Order Representations (Extended Abstract)|COLT-96|postscript/colt-96.ps|ps
satr|1996|William Cohen|Learning Rules that Classify E-Mail|The 1996 AAAI Spring Symposium on Machine Learning in Information Access|postscript/aaai-ss-96.ps|ps
atr|1996|William Cohen and Yoram Singer|Learning to Query the Web|The 1996 AAAI Workshop on Internet-Based Information Systems|postscript/aaai-ws-96.ps|ps
str|1996|William Cohen and Yoram Singer|Context-sensitive learning methods for text categorization|SIGIR-96|postscript/sigir-96.ps|ps
if|1996|William Cohen|Pac-learning non-recursive prolog clauses|Artificial Intelligence, 79(1), pages 1-38||
|1996|William Cohen|Adaptive mapping and navigation by teams of simple robots|Robotics and Autonomous Systems, v18, pp 411--434||
ti|1995|William Cohen|Learning to Classify English Text with ILP Methods|Advances in Inductive Logic Programming, Ed. L. De Raedt, IOS Press, 1995, in IOS Frontiers in AI and Applications series|postscript/ilp-95.ps|ps
trs|1995|William Cohen|Fast effective rule induction|ICML-95|postscript/ml-95-ripper.ps|ps
it|1995|William Cohen|Text categorization and relational learning|ICML-95|postscript/ml-95-ir.ps|ps
fi|1995|William Cohen and C. David Page Jr|Polynomial learnability and inductive logic programming: Methods and results|New Generation Computing, 13(3)||
fi|1995|William Cohen|Pac-learning recursive logic programs: Efficient algorithms|Journal of Artificial Intelligence Research, Volume 2, pages 501-539|http://www.cs.washington.edu/research/jair/home.html|html
fi|1995|William Cohen|Pac-learning recursive logic programs: Negative results.|Journal of Artificial Intelligence Research, Volume 2, pages 541-573|http://www.cs.washington.edu/research/jair/home.html|html|
iar|1995|William Cohen|Inductive specification recovery: Understanding software by learning from example behaviors|Automated Software Engineering, 2(2)||
f|1994|L. Thorn McCarty and William Cohen|The case for explicit exceptions|Methods of Logic in Computer Science, 1(1)||
|1994|Haym Hirsh and William Cohen|Learning from data with bounded inconsistency: Theoretical and experimental results.|Computational learning theory and natural learning systems (Volume I), ed. S. Hanson, G. Drastal, and R. Rivest, MIT Press||
sf|1994|William Cohen and Haym Hirsh|Learning the CLASSIC description logic: Theoretical and experimental results|KR-94|postscript/kr-94.ps|ps
f|1994|William Cohen and Haym Hirsh|Learnability of description logics with equality constraints|Machine Learning, 17(2/3)||
fai|1994|William Cohen|Recovering Software Specifications with Inductive Logic Programming|AAAI-94|postscript/aaai-94-rc.ps|ps
fe|1994|William Cohen, Russell Greiner, and Dale Schuurmans|Probabilistic hill-climbing|Computational learning theory and natural learning systems (Volume II),ed. S. Hanson, T. Petsch, M. Kearns, and R. Rivest, MIT Press||
fe|1994|William Cohen|Incremental abductive EBL|Machine Learning, 15(1)||
